기온,노면온도,humi_,alti_,시간,경도,위도
-7.4,-9.7,67.2,10246,2024-01-25 05:58:02,127.735014,34.9845812
-7.4,-10.0,67.2,10246,2024-01-25 05:58:03,127.735014,34.9845812
-7.4,-10.0,67.2,10246,2024-01-25 05:58:03,127.7348311,34.9845262
-7.4,-9.7,67.2,10246,2024-01-25 05:58:04,127.7348311,34.9845262
-7.4,-9.7,67.2,10246,2024-01-25 05:58:04,127.7346505,34.9844682
-7.4,-9.7,67.2,10246,2024-01-25 05:58:05,127.7346505,34.9844682
-7.4,-9.6,67.2,10246,2024-01-25 05:58:05,127.7344711,34.9844113
-7.4,-9.6,67.2,10246,2024-01-25 05:58:06,127.7344711,34.9844113
-7.5,-9.7,67.2,10246,2024-01-25 05:58:06,127.7342924,34.9843582
-7.4,-9.3,67.2,10245,2024-01-25 05:58:07,127.7342924,34.9843582
-7.5,-9.3,67.2,10245,2024-01-25 05:58:07,127.734116,34.9843043
-7.4,-9.3,67.2,10245,2024-01-25 05:58:08,127.734116,34.9843043
-7.4,-9.3,67.2,10245,2024-01-25 05:58:08,127.7339421,34.9842515
-7.4,-9.8,67.2,10245,2024-01-25 05:58:09,127.7339421,34.9842515
-7.4,-9.5,67.2,10245,2024-01-25 05:58:09,127.7337643,34.9841955
-7.4,-9.3,67.2,10245,2024-01-25 05:58:10,127.7337643,34.9841955
-7.4,-9.3,67.2,10245,2024-01-25 05:58:10,127.7335903,34.9841391
-7.4,-9.5,67.2,10245,2024-01-25 05:58:11,127.7335903,34.9841391
-7.4,-9.5,67.2,10245,2024-01-25 05:58:11,127.7334102,34.9840807
-7.4,-9.4,67.2,10245,2024-01-25 05:58:12,127.7334102,34.9840807
-7.4,-9.2,67.2,10245,2024-01-25 05:58:12,127.7332335,34.9840207
-7.4,-9.5,67.2,10245,2024-01-25 05:58:13,127.7332335,34.9840207
-7.4,-10.1,67.2,10245,2024-01-25 05:58:13,127.7330558,34.9839612
-7.3,-11.9,67.2,10245,2024-01-25 05:58:14,127.7328759,34.9839029
-7.4,-11.9,67.2,10245,2024-01-25 05:58:15,127.7328759,34.9839029
-7.3,-11.9,67.2,10245,2024-01-25 05:58:15,127.7326991,34.9838431
-7.3,-11.8,67.2,10245,2024-01-25 05:58:16,127.7326991,34.9838431
-7.3,-11.9,67.2,10245,2024-01-25 05:58:16,127.7325218,34.9837818
-7.3,-11.8,67.2,10245,2024-01-25 05:58:17,127.7325218,34.9837818
-7.3,-11.8,67.1,10245,2024-01-25 05:58:17,127.7323389,34.9837239
-7.3,-11.8,67.1,10245,2024-01-25 05:58:18,127.7323389,34.9837239
-7.3,-11.7,67.1,10245,2024-01-25 05:58:18,127.7321574,34.9836672
-7.3,-11.7,67.1,10245,2024-01-25 05:58:19,127.7321574,34.9836672
-7.3,-11.7,67.2,10245,2024-01-25 05:58:19,127.7319741,34.9836092
-7.3,-11.7,67.2,10245,2024-01-25 05:58:20,127.7319741,34.9836092
-7.3,-11.8,67.2,10245,2024-01-25 05:58:20,127.7317926,34.9835519
-7.3,-11.8,67.2,10245,2024-01-25 05:58:21,127.7317926,34.9835519
-7.3,-11.8,67.2,10245,2024-01-25 05:58:21,127.7316095,34.9834943
-7.3,-11.8,67.2,10245,2024-01-25 05:58:22,127.7316095,34.9834943
-7.3,-12.0,67.2,10245,2024-01-25 05:58:22,127.7314263,34.9834354
-7.3,-12.0,67.2,10245,2024-01-25 05:58:23,127.7312431,34.9833802
-7.3,-11.8,67.1,10245,2024-01-25 05:58:23,127.7312431,34.9833802
-7.3,-11.9,67.1,10245,2024-01-25 05:58:24,127.7312431,34.9833802
-7.3,-11.8,67.1,10245,2024-01-25 05:58:24,127.731059,34.9833203
-7.3,-11.8,67.1,10245,2024-01-25 05:58:25,127.731059,34.9833203
-7.3,-11.8,67.2,10245,2024-01-25 05:58:25,127.7308725,34.9832625
-7.3,-11.7,67.2,10245,2024-01-25 05:58:26,127.7308725,34.9832625
-7.2,-11.8,67.2,10246,2024-01-25 05:58:26,127.730684,34.983206
-7.2,-11.9,67.2,10246,2024-01-25 05:58:27,127.730684,34.983206
-7.2,-11.8,67.2,10246,2024-01-25 05:58:27,127.7305004,34.9831472
-7.3,-11.8,67.2,10246,2024-01-25 05:58:28,127.7303155,34.9830879
-7.2,-12.0,67.2,10246,2024-01-25 05:58:28,127.7303155,34.9830879
-7.2,-11.8,67.2,10246,2024-01-25 05:58:29,127.7303155,34.9830879
-7.2,-11.8,67.2,10246,2024-01-25 05:58:29,127.7301311,34.9830287
-7.2,-11.9,67.2,10246,2024-01-25 05:58:30,127.7301311,34.9830287
-7.2,-11.9,67.2,10247,2024-01-25 05:58:30,127.7299465,34.9829709
-7.2,-11.9,67.2,10247,2024-01-25 05:58:31,127.7299465,34.9829709
-7.2,-11.8,67.2,10247,2024-01-25 05:58:31,127.7297593,34.982916
-7.2,-11.9,67.2,10246,2024-01-25 05:58:32,127.7297593,34.982916
-7.2,-12.0,67.2,10246,2024-01-25 05:58:32,127.7295735,34.9828609
-7.2,-11.9,67.2,10246,2024-01-25 05:58:33,127.7293849,34.9828048
-7.2,-11.9,67.2,10246,2024-01-25 05:58:33,127.7293849,34.9828048
-7.2,-11.9,67.2,10246,2024-01-25 05:58:34,127.7293849,34.9828048
-7.2,-12.0,67.2,10246,2024-01-25 05:58:34,127.7291964,34.9827474
-7.2,-12.0,67.2,10246,2024-01-25 05:58:35,127.7291964,34.9827474
-7.2,-11.9,67.3,10246,2024-01-25 05:58:35,127.729006,34.9826903
-7.2,-11.9,67.3,10246,2024-01-25 05:58:36,127.7288162,34.9826333
-7.2,-12.0,67.3,10246,2024-01-25 05:58:36,127.7288162,34.9826333
-7.2,-11.9,67.3,10246,2024-01-25 05:58:37,127.7286275,34.9825743
-7.2,-12.0,67.3,10246,2024-01-25 05:58:37,127.7286275,34.9825743
-7.2,-11.8,67.3,10246,2024-01-25 05:58:38,127.7284387,34.982513
-7.2,-11.8,67.3,10246,2024-01-25 05:58:38,127.7284387,34.982513
-7.1,-12.0,67.3,10246,2024-01-25 05:58:39,127.7284387,34.982513
-7.1,-11.9,67.4,10246,2024-01-25 05:58:39,127.7282477,34.9824532
-7.2,-11.7,67.4,10246,2024-01-25 05:58:40,127.7282477,34.9824532
-7.2,-11.8,67.4,10246,2024-01-25 05:58:40,127.7280637,34.9823967
-7.1,-11.8,67.4,10246,2024-01-25 05:58:41,127.7278745,34.9823396
-7.1,-11.8,67.4,10246,2024-01-25 05:58:41,127.7278745,34.9823396
-7.1,-11.8,67.4,10246,2024-01-25 05:58:42,127.7278745,34.9823396
-7.1,-11.7,67.4,10246,2024-01-25 05:58:42,127.7276869,34.9822834
-7.1,-11.8,67.4,10246,2024-01-25 05:58:43,127.7274973,34.9822262
-7.1,-11.9,67.4,10246,2024-01-25 05:58:43,127.7274973,34.9822262
-7.1,-11.9,67.4,10246,2024-01-25 05:58:44,127.7273102,34.9821695
-7.2,-12.0,67.4,10246,2024-01-25 05:58:44,127.7273102,34.9821695
-7.1,-12.0,67.4,10246,2024-01-25 05:58:45,127.7271218,34.9821107
-7.1,-11.9,67.4,10246,2024-01-25 05:58:46,127.7271218,34.9821107
-7.1,-12.1,67.4,10245,2024-01-25 05:58:46,127.7269377,34.9820509
-7.2,-12.1,67.4,10245,2024-01-25 05:58:46,127.7269377,34.9820509
-7.1,-12.1,67.4,10245,2024-01-25 05:58:47,127.7267547,34.9819907
-7.2,-11.9,67.4,10244,2024-01-25 05:58:48,127.7267547,34.9819907
-7.2,-11.9,67.4,10244,2024-01-25 05:58:48,127.7265721,34.9819314
-7.2,-11.8,67.4,10244,2024-01-25 05:58:48,127.7265721,34.9819314
-7.2,-11.7,67.4,10244,2024-01-25 05:58:49,127.7263887,34.9818724
-7.2,-11.7,67.4,10244,2024-01-25 05:58:50,127.7263887,34.9818724
-7.2,-11.8,67.4,10244,2024-01-25 05:58:50,127.7262079,34.9818155
-7.2,-11.9,67.4,10244,2024-01-25 05:58:50,127.7262079,34.9818155
-7.2,-11.9,67.4,10244,2024-01-25 05:58:51,127.7260285,34.9817587
-7.2,-12.0,67.4,10244,2024-01-25 05:58:52,127.7260285,34.9817587
-7.2,-12.0,67.4,10244,2024-01-25 05:58:52,127.7258482,34.9817012
-7.2,-11.9,67.4,10244,2024-01-25 05:58:52,127.7258482,34.9817012
-7.2,-11.9,67.4,10245,2024-01-25 05:58:53,127.7256679,34.9816441
-7.2,-12.1,67.4,10245,2024-01-25 05:58:54,127.7256679,34.9816441
-7.2,-12.1,67.4,10245,2024-01-25 05:58:54,127.7254913,34.9815903
-7.3,-12.1,67.4,10245,2024-01-25 05:58:55,127.7254913,34.9815903
-7.2,-9.2,67.4,10246,2024-01-25 05:58:56,127.7253143,34.9815375
-7.2,-9.3,67.4,10247,2024-01-25 05:58:56,127.7251421,34.9814834
-7.3,-9.0,67.4,10247,2024-01-25 05:58:57,127.7251421,34.9814834
-7.3,-9.2,67.4,10247,2024-01-25 05:58:58,127.7249692,34.98143
-7.3,-9.6,67.4,10247,2024-01-25 05:58:58,127.7247983,34.9813778
-7.3,-9.1,67.4,10247,2024-01-25 05:58:59,127.7247983,34.9813778
-7.3,-9.4,67.4,10247,2024-01-25 05:58:59,127.7246236,34.9813248
-7.3,-9.2,67.3,10247,2024-01-25 05:59:00,127.7246236,34.9813248
-7.3,-9.4,67.3,10247,2024-01-25 05:59:00,127.7244479,34.9812695
-7.3,-9.3,67.3,10247,2024-01-25 05:59:01,127.7244479,34.9812695
-7.3,-9.2,67.3,10247,2024-01-25 05:59:01,127.724273,34.9812129
-7.3,-9.6,67.3,10247,2024-01-25 05:59:02,127.724273,34.9812129
-7.3,-9.3,67.3,10247,2024-01-25 05:59:02,127.7240967,34.9811561
-7.3,-9.1,67.3,10247,2024-01-25 05:59:03,127.7240967,34.9811561
-7.3,-9.3,67.3,10248,2024-01-25 05:59:03,127.7239223,34.9811009
-7.3,-8.9,67.2,10247,2024-01-25 05:59:04,127.7239223,34.9811009
-7.3,-9.0,67.2,10247,2024-01-25 05:59:04,127.7237437,34.9810469
-7.3,-9.1,67.2,10247,2024-01-25 05:59:05,127.7237437,34.9810469
-7.3,-8.9,67.2,10247,2024-01-25 05:59:05,127.7235663,34.9809913
-7.3,-9.0,67.1,10247,2024-01-25 05:59:06,127.7235663,34.9809913
-7.3,-9.2,67.1,10247,2024-01-25 05:59:06,127.7233875,34.9809334
-7.3,-9.1,67.1,10247,2024-01-25 05:59:07,127.7233875,34.9809334
-7.3,-9.0,67.1,10248,2024-01-25 05:59:07,127.7232065,34.9808753
-7.3,-9.4,67.1,10248,2024-01-25 05:59:08,127.7232065,34.9808753
-7.3,-9.3,67.1,10248,2024-01-25 05:59:08,127.7230268,34.9808169
-7.3,-9.3,67.1,10248,2024-01-25 05:59:09,127.7230268,34.9808169
-7.3,-9.3,67.1,10248,2024-01-25 05:59:09,127.7228487,34.9807594
-7.3,-9.0,67.1,10248,2024-01-25 05:59:10,127.7228487,34.9807594
-7.3,-9.0,67.1,10249,2024-01-25 05:59:10,127.7226694,34.9807018
-7.4,-9.5,67.1,10249,2024-01-25 05:59:11,127.7226694,34.9807018
-7.3,-9.3,67.1,10249,2024-01-25 05:59:11,127.7224889,34.980645
-7.4,-9.4,67.0,10249,2024-01-25 05:59:12,127.7224889,34.980645
-7.3,-9.0,67.0,10249,2024-01-25 05:59:12,127.722311,34.9805888
-7.3,-9.1,67.0,10249,2024-01-25 05:59:13,127.722311,34.9805888
-7.3,-9.1,67.0,10249,2024-01-25 05:59:13,127.7221282,34.9805303
-7.4,-9.1,67.0,10249,2024-01-25 05:59:14,127.7221282,34.9805303
-7.4,-9.0,67.0,10249,2024-01-25 05:59:14,127.7219491,34.9804716
-7.4,-8.9,67.0,10249,2024-01-25 05:59:15,127.7219491,34.9804716
-7.4,-9.2,67.0,10249,2024-01-25 05:59:15,127.7217682,34.9804135
-7.3,-9.2,67.0,10249,2024-01-25 05:59:16,127.7217682,34.9804135
-7.4,-9.1,67.0,10249,2024-01-25 05:59:16,127.7215894,34.9803568
-7.4,-8.9,67.0,10249,2024-01-25 05:59:17,127.7215894,34.9803568
-7.4,-9.6,67.0,10249,2024-01-25 05:59:17,127.7214089,34.9802987
-7.4,-11.9,66.9,10249,2024-01-25 05:59:18,127.7214089,34.9802987
-7.4,-12.1,66.9,10249,2024-01-25 05:59:18,127.7212262,34.9802426
-7.4,-12.0,66.9,10249,2024-01-25 05:59:19,127.7212262,34.9802426
-7.4,-11.9,66.9,10250,2024-01-25 05:59:19,127.7210485,34.9801864
-7.4,-9.6,66.9,10250,2024-01-25 05:59:20,127.7210485,34.9801864
-7.4,-9.6,66.9,10250,2024-01-25 05:59:20,127.7208672,34.9801294
-7.4,-9.3,66.9,10250,2024-01-25 05:59:21,127.7208672,34.9801294
-7.4,-9.0,66.9,10250,2024-01-25 05:59:21,127.720689,34.9800746
-7.4,-8.9,66.9,10250,2024-01-25 05:59:22,127.720689,34.9800746
-7.4,-9.0,66.9,10250,2024-01-25 05:59:22,127.7205091,34.9800214
-7.4,-9.1,66.9,10250,2024-01-25 05:59:23,127.7205091,34.9800214
-7.4,-9.3,66.9,10250,2024-01-25 05:59:23,127.7203326,34.9799679
-7.4,-9.1,66.9,10250,2024-01-25 05:59:24,127.7203326,34.9799679
-7.4,-9.3,66.9,10250,2024-01-25 05:59:24,127.7201547,34.9799124
-7.4,-9.2,66.9,10250,2024-01-25 05:59:25,127.7201547,34.9799124
-7.4,-9.0,66.9,10251,2024-01-25 05:59:25,127.7199799,34.9798546
-7.4,-9.1,66.8,10251,2024-01-25 05:59:26,127.7199799,34.9798546
-7.5,-9.1,66.8,10251,2024-01-25 05:59:26,127.7198095,34.9798
-7.5,-9.0,66.8,10251,2024-01-25 05:59:27,127.7198095,34.9798
-7.5,-8.9,66.8,10252,2024-01-25 05:59:27,127.7196396,34.9797462
-7.4,-9.0,66.8,10252,2024-01-25 05:59:28,127.7196396,34.9797462
-7.5,-9.0,66.8,10252,2024-01-25 05:59:28,127.7194673,34.979693
-7.4,-9.1,66.8,10252,2024-01-25 05:59:29,127.7194673,34.979693
-7.5,-9.3,66.8,10253,2024-01-25 05:59:29,127.7192954,34.9796412
-7.5,-9.4,66.7,10253,2024-01-25 05:59:30,127.7192954,34.9796412
-7.5,-9.4,66.7,10253,2024-01-25 05:59:30,127.7191226,34.9795899
-7.5,-9.3,66.7,10253,2024-01-25 05:59:31,127.7191226,34.9795899
-7.5,-9.2,66.7,10252,2024-01-25 05:59:31,127.7189528,34.9795377
-7.5,-9.6,66.8,10252,2024-01-25 05:59:32,127.7189528,34.9795377
-7.5,-9.6,66.8,10252,2024-01-25 05:59:32,127.7187818,34.979483
-7.5,-9.5,66.8,10252,2024-01-25 05:59:33,127.7187818,34.979483
-7.5,-9.3,66.8,10252,2024-01-25 05:59:33,127.7186136,34.979427
-7.5,-9.4,66.7,10252,2024-01-25 05:59:34,127.7186136,34.979427
-7.4,-9.3,66.7,10251,2024-01-25 05:59:34,127.7184378,34.9793722
-7.5,-9.4,66.7,10251,2024-01-25 05:59:35,127.7184378,34.9793722
-7.5,-9.3,66.7,10251,2024-01-25 05:59:35,127.7182614,34.9793181
-7.5,-9.2,66.7,10251,2024-01-25 05:59:36,127.7182614,34.9793181
-7.5,-9.5,66.7,10251,2024-01-25 05:59:36,127.7180853,34.9792639
